id,name
655,taskmaster
657,thanos
658,the cape
659,the comedian
660,thing
661,thor
663,thunderbird
664,thunderbird ii
665,thunderbird iii
666,thunderstrike
668,tiger shark
670,tinkerer
671,titan
672,toad
673,toxin
674,toxin
676,trickster
677,trigon
679,triton
680,two-face
682,ultron
683,utgard-loki
687,vanisher
688,vegeta
689,venom
690,venom ii
691,venom iii
692,venompool
694,vibe
696,vindicator
697,violator
699,vision
702,vulcan
703,vulture
704,walrus
705,war machine
707,warlock
708,warp
709,warpath
711,watcher
712,weapon xi
715,wildfire
716,winter soldier
719,wolverine
721,wonder man
724,wyatt wingfoot
726,x-man
727,yellow claw
728,yellowjacket
730,ymir
731,yoda
733,zoom
